idx	SKU	开发	站点	产品名称	开品理由	售价	采购价¥	空运利润率
113	2640408	张子轩	UK	【5pc】姐妹家庭钥匙扣套装【四件钥匙扣+粉色绒布袋】	供应商新款，十月开始起量	7.99	12.5	0.23700131604787
114	2640409	张子轩	UK	【6pc】波西米亚风手工编织十字架钥匙扣【粉色+黑色+天蓝+紫色+白色+棕色】	选了最好卖的颜色作为组合，英国无竞品，且价格优势	6.99	10.14	0.226497706660234
115	2640410	张子轩	UK	DIY创意折叠生日红包【白色】	新配色，美国热销，英国无竞品	4.99	2.6	0.231580021870439
116	2660243	黄雨珊	UK	【2套】蝾螈牵手袜	供应商新款有销量，，2双装高性价比	8.99	13.6	0.205608235015226
117	2660244	黄雨珊	UK	【6pcs】航海远航涤纶挂绳带卡套【天蓝乌龟】【白色乌龟】【红色乌龟】【新款黑色海浪】【新款湖绿海浪】【新款浅蓝海浪】-供应商打包	供应商新款和销量好的款组合，性价比高，同价格多2pcs	8.99	10.2	0.236787817846006
118	2660245	黄雨珊	UK	【4条】单身女郎派对趣味闪粉横幅装饰	新组合，美国销量好，英德都有销量无同款	6.99	8.88	0.202023131070482
119	2660246	黄雨珊	UK	【17pcs】女生健身房生日派对蛋糕装饰插牌【1件大插牌，Y-00595-4】【16件小插牌，Y-00595-5】-供应商打包	供应商新款销量好，便宜2英镑多16pcs，英德有市场	5.99	5.4	0.232332282922748
120	2660247	黄雨珊	UK	【定制】【6pcs】金属圆珠笔好运礼物【玫红触控头黑】【橘红触控头黑】【浅黄色控头黑】【绿色控头黑】【蓝色控头黑】【深蓝控头黑】-拿图找客服定制文字-供应商打包	性价比高，比同数量6便宜，款式销量好	7.99	8.7	0.243783798835195
121	2660248	黄雨珊	UK	狗狗橡胶咀嚼玩具【RT马卡龙黄】	新款颜色	8.99	10.8	0.210833921635541
122	2660249	黄雨珊	UK	【2pcs】树脂食玩解压玩具钥匙扣【113-两键吐司-不带灯】【114-I型贝果-不带灯】-供应商打包	新款两件装	8.99	12.1	0.193901238169916
123	2660250	黄雨珊	UK	【10pcs】黑色【03】【06】【08】，粉色【01】【04】【05】，黄色【01】【02】，棕色【13】【10】	款式不同，多1pcs	7.99	10.1	0.223266348743892
124	2660251	黄雨珊	UK	【1套】复古唯美网纱头饰带发箍和金属发夹【裸粉】	粉色销量好	9.99	9	0.216817402882977
125	2660252	黄雨珊	UK	【2pcs】4年计划本套装【2027日程本35-棕】【金色豹纹】-仓库打包	供应商新款，豹纹笔记本销量好，有价格优势	8.99	11.65	0.21790136321127
126	2620720	龙梦临	DE	人偶13关节可动3D打印第3代假人玩偶【暗黑死神黑红*成品款（拼好）备注：与商家协商11.5元一套】	在英国出的还行	8.99	11.5	0.233945124212087
127	2620912	龙梦临	DE	【4pcs】开学季女孩勇气石天使手链【勇气石盒子+粉晶天使手链】	供应商新款，无同款搭配，九月份开学季	7.99	11	0.234438881935753
128	2550899	陈杨	DE	高地牛熟食拼盘【B款上色】	德国没有FBA，各个FBM链接都有量	19.99	31	0.237943971985993
129	2551868	陈杨	DE	金属铁艺花艺摆件【罗宾】	销量非常好，速上	19.99	20	0.225682285587238
130	2551925	陈杨	DE	金属铁艺花艺摆件【蓝鸟】	销量非常好，速上	19.99	20	0.225682285587238
131	2551942	陈杨	DE	【3pcs】鸟水池清洁器-【叶子】	销量非常好，速上	13.99	24	0.210614724803431
132	2561312	宋凤莉	DE	【50pcs】沙盘人物玩偶模型（1:50比例）【备注：50个/包，加1.5元/包打包费，要主图上相似款，每包款式丰富，包装厚度控制在2.5cm内】	放的自己的链接，做的1:50比例，市场上性价比很高，利润不错	11.99	19	0.243800389213233
133	2660238	黄雨珊	DE	【13pcs】越野摩托车主题派对插牌【大插排*1】【小插排*12】-供应商打包	越野车主题销量好，有价格优势，组合不同	5.99	2.5	0.243614259519183
134	2660239	黄雨珊	DE	【18pcs】开学季圆形立体铅笔异形纸盒子套装【KZ114款 12纸盒（六款各2个）】【贴纸*6】-仓库打包	销量很好，开学季流量持续到九月，贴纸款式有差异化	9.99	10.91	0.20709042375709
135	2660242	黄雨珊	DE	【定制】【露营车主题】收纳筐礼物【21*14cm】	露营车主题市场大，上新多，图案已改	11.99	8.5	0.197400611620795
